,Tokens
769,"['lisbon', 'london', 'business', 'class', 'economy', 'class', 'empty', 'middle', 'seat', 'leg', 'room', 'meal', 'service', 'choice', 'time', 'got', 'halfway', 'business', 'class', 'left', 'cod', 'freezing', 'cold', 'blankets', 'poor', 'staff', 'spent', 'flight', 'apologising', 'never', 'fly', 'british', 'airways']"
770,"['heathrow', 'marseille', 'within', 'days', 'booking', 'flight', 'december', 'ba', 'advised', 'flight', 'changed', 'late', 'evening', 'arrival', 'unacceptable', 'opt', 'cancel', 'full', 'refund', 'ba', 'says', 'refunding', 'fare', 'makes', 'mention', 'fee', 'paid', 'seat', 'selection', 'found', 'claim', 'form', 'refund', 'fees', 'submission', 'say', 'take', 'days', 'think']"
771,"['madrid', 'london', 'british', 'airways', 'nothing', 'left', 'business', 'class', 'flights', 'bring', 'hot', 'towel', 'feels', 'like', 'bad', 'joke', 'seats', 'coach', 'took', 'forever', 'hang', 'jacket', 'asked', 'three', 'occasions', 'gave', 'sit', 'considered', 'bad', 'coach', 'seat', 'without', 'window', 'see', 'picture', 'top', 'everything', 'find', 'put', 'luggage', 'backpack', 'far', 'behind', 'seat', 'choosing', 'bring', 'extra', 'hand', 'luggage', 'doesn', '’', 't', 'fit', 'anymore', 'coach', 'business', 'class', 'ridiculous', 'service', 'worth', 'x', 'cost', 'business', 'class', 'ticket', 'goes', 'feel', 'totally', 'ripped']"
772,"['gatwick', 'glasgow', 'awful', 'experience', 'flight', 'arrived', 'hours', 'late', 'pm', 'late', 'car', 'rental', 'company', 'closed', 'stuck', 'airport', 'without', 'car', 'pay', 'taxi', 'hotel', 'back', 'airport', 'next', 'day', 'really', 'expensive', 'new', 'car', 'hire', 'three', 'times', 'price', 'since', 'last', 'minute', 'british', 'airways', 'would', 'help', 'compensate', 'said', 'wasn', '’', 't', 'fault']"
773,"['frankfurt', 'london', 'ba', 'staff', 'watched', 'security', 'went', 'partners', 'bag', 'around', 'mins', 'required', 'call', 'police', 'sauntered', 'stared', 'bag', 'actually', 'clothes', 'finishing', 'flight', 'dispatcher', 'closed', 'flight', 'minutes', 'required', 'much', 'longer', 'spent', 'unloading', 'luggage', 'checked', 'bag', 'almost', 'hours', 'previously', 'arrived', 'security', 'plenty', 'time']"
774,"['❎', 'verified', 'london', 'olbia', 'complete', 'confusion', 'plane', 'delayed', 'getting', 'sardinia', 'waited', 'following', 'checkin', 'sardinia', 'penned', 'long', 'lines', 'seats', 'extreme', 'heat', 'water', 'queues', 'airport', 'staff', 'sardinia', 'appeared', 'overwhelmed', 'finally', 'got', 'onto', 'plane', 'we', '’', 're', 'delayed', 'tarmac', 'due', 'depart', 'hours', 'scheduled', 'departure', 'time', 'far', 'still', 'stuck', 'tarmac', 'updates', 'water', 'provided', 'felt', 'unwell', 'told', 'glasses', 'nothing', 'drink', 'numerous', 'small', 'children', 'hydration', 'high', 'temperatures', 'second', 'time', 'asking', 'told', 'could', 'buy', 'drink', 'took', 'idea', 'would', 'need', 'abandon', 'flight', 'stage', 'people', 'become', 'unwell', 'cabin', 'crew', 'standing', 'nothing', 'looking', 'perplexed']"
775,"['rotterdam', 'london', 'city', 'waiting', 'hours', 'rotterdam', 'airport', 'delays', 'told', 'rerouted', 'flight', 'amsterdam', 'needed', 'quickly', 'catch', 'taxi', 'pay', 'rotterdam', 'amsterdam', 'airport', 'hope', 'catching', 'flight', 'worried', 'wouldn', '’', 't', 'make', 'asked', 'put', 'hotel', 'fly', 'following', 'morning', 'said', 'option', 'fights', 'booked', 'apology', 'offer', 'bus', 'taxis', 'rerouted', 'amsterdam', 'throughout', 'process', 'long', 'queue', 'one', 'bothered', 'explain', 'us', 'happening', 'known', 'we', '’', 'd', 'rerouted', 'amsterdam', 'would', '’', 've', 'left', 'rotterdam', 'earlier', 'rather', 'wait', 'long', 'queue', 'told', 'info', 'end', 'waste', 'time', 'energy', 'money', 'apology', 'make', 'hours', 'delay', 'it', '’', 's', 'quite', 'unbelievable']"
776,"['return', 'flight', 'dublin', 'outbound', 'galleries', 'north', 'fine', 'good', 'breakfast', 'flight', 'fine', 'return', 'flight', 'delayed', 'mins', 'gate', 'staff', 'kept', 'us', 'informed', 'lounge', 'dublin', 'generic', 'lounge', 'ok', 'staff', 'flights', 'fine', 'return', 'aircraft', 'quite', 'new', 'well', 'presented']"
777,"['barbados', 'gatwick', 'boarded', 'half', 'full', 'flight', 'whilst', 'preparing', 'take', 'video', 'shown', 'normal', 'crew', 'participation', 'side', 'seemed', 'like', 'trouble', 'crew', 'inflight', 'drinks', 'service', 'got', 'way', 'service', 'quick', 'beer', 'partner', 'soft', 'drink', 'given', 'room', 'temperature', 'drinking', 'vessel', 'partner', 'soft', 'drink', 'standard', 'plastic', 'cup', 'mention', 'ice', 'within', 'minutes', 'meal', 'service', 'commenced', 'got', 'seats', 'back', 'aircraft', 'served', 'two', 'trays', 'appeared', 'passed', 'us', 'enquired', 'meal', 'told', 'pasta', 'it', '’', 's', 'left', 'everyone', 'else', 'choice', 'chicken', 'pasta', 'partner', 'refused', 'pasta', 'proceeded', 'challenge', 'half', 'filled', 'flight', 'run', 'tangible', 'answer', 'came', 'back', 'rudely', 'told', 'would', 'get', 'chicken', 'premium', 'economy', 'said', 'one', 'required', 'would', 'eat', 'pasta', 'glad', 'think', 'chicken', 'placed', 'partners', 'tray', 'burnt', 'service', 'drinks', 'offered', 'except', 'water', 'trays', 'gathered', 'last', 'saw', 'crew', 'hours', 'reappeared', 'minutes', 'landing', 'served', 'box', 'containing', 'stale', 'bread', 'processed', 'cheese', 'stale', 'cake', 'politely', 'refused', 'offering', 'partner', 'ate', 'bread', 'tea', 'coffee', 'served', 'flight', 'days', 'previously', 'exact', 'opposite', 'pleasant', 'staff', 'food', 'standard', 'acceptable', 'negative', 'musical', 'chairs', 'played', 'fellow', 'passengers', 'crew', 'turned', 'blind', 'eye', 'positives', 'ife', 'wide', 'choice', 'got', 'home', 'safely', 'getting', 'aircraft', 'pleasure', 'also', 'coldest', 'flights', 'ever']"
778,"['would', 'like', 'praise', 'outstanding', 'courtesy', 'service', 'received', 'ba', 'cabin', 'crew', 'members', 'flight', 'ba', 'london', 'heathrow', 'singapore', 'june', 'cabin', 'crew', 'friendly', 'attentive', 'passengers', 'needs', 'enabling', 'relax', 'enjoy', 'flight', 'feel', 'proud', 'british', 'airways', 'continue', 'train', 'staff', 'high', 'standard', 'really', 'privilege', 'fly', 'british', 'airways']"
779,"['madrid', 'london', 'heathrow', 'second', 'trip', 'madrid', 'london', 'british', 'airways', 'since', 'may', 'trip', 'like', 'previous', 'plane', 'broke', 'waited', 'hours', 'plane', 'repaired', 'whilst', 'temperature', 'outside', 'degrees', 'cabin', 'crew', 'director', 'offered', 'passengers', 'opportunity', 'purchase', 'water', 'cold', 'drinks', 'bar', 'ba', 'could', 'try', 'make', 'money', 'one', 'technical', 'failures', 'waited', 'another', 'hour', 'pick', 'suitcase', 'im', 'silver', 'card', 'holder', 'could', 'access', 'business', 'lounge', 'madrid', 'regret', 'using', 'fortunately', 'last', 'ever', 'trip', 'ba']"
780,"['ba', 'heathrow', 'oslo', 'flown', 'ba', 'times', 'last', 'months', 'came', 'medication', 'makes', 'nervous', 'flying', 'planes', 'notified', 'cabin', 'crew', 'honestly', 'amazing', 'went', 'beyond', 'gave', 'free', 'bottle', 'water', 'kept', 'asking', 'okay', 'put', 'arm', 'around', 'made', 'feel', 'much', 'better', 'flight', 'super', 'smooth', 'overall', 'amazing', 'service', 'thanks', 'ba', 'flying', 'soon']"
781,"['hamburg', 'abu', 'dhabi', 'via', 'london', 'heathrow', 'initial', 'flight', 'heathrow', 'abu', 'dhabi', 'cancelled', 'fly', 'day', 'earlier', 'flights', 'following', 'days', 'cancelled', 'well', 'service', 'free', 'glass', 'water', 'first', 'leg', 'abu', 'dhabi', 'london', 'delayed', 'hrs', 'generous', 'dirham', 'voucher', '£', 'received', 'ba', 'enough', 'bottle', 'water', 'coffee']"
782,"['new', 'york', 'glasgow', 'via', 'london', 'routine', 'smooth', 'overnight', 'flight', 'departed', 'gate', 'minutes', 'late', 'security', 'issue', 'terminal', 'electronic', 'boarding', 'pass', 'ba', 'app', 'announcement', 'made', 'needed', 'get', 'paper', 'versions', 'separate', 'desk', 'couple', 'agents', 'performed', 'task', 'pilot', 'introduced', 'flight', 'attendants', '“', 'gorgeous', '”', 'came', 'across', 'inappropriate', 'would', 'preferred', 'efficient', 'even', 'helpful', 'describe', 'aisle', 'seat', 'seat', 'layout', 'middle', 'seat', 'unoccupied', 'enough', 'leg', 'space', 'storage', 'space', 'overhead', 'good', 'collection', 'sorts', 'movies', 'free', 'headphones', 'provided', 'ife', 'system', 'easy', 'use', 'drink', 'service', 'preceded', 'meal', 'service', 'asked', 'beer', 'cheerfully', 'offered', 'centenary', 'year', 'specially', 'brewed', 'ipa', 'brewdog', 'speedbird', 'sensing', 'might', 'enjoy', 'attendant', 'also', 'gave', 'heineken', 'bottle', 'wine', 'accompany', 'dinner', 'followed', 'soon', 'thereafter', 'entree', 'choices', 'chicken', 'pasta', 'chose', 'later', 'basic', 'food', 'tea', 'coffee', 'followed', 'landing', 'sandwich', 'drink', 'served', 'could', 'figure', 'sandwich', 'bathroom', 'clean', 'blankets', 'pillows', 'every', 'seat', 'alighting', 'quick', 'landing', 'cards', 'done', 'away', 'fare', 'paid', 'satisfied', 'complaints', 'connected', 'domestic', 'flight', 'glasgow', 'announcement', 'gate', 'made', 'quite', 'late', 'newspapers', 'available', 'gate', 'worthy', 'amenity', 'smooth', 'flight', 'seating', 'aisle', 'seat', 'next', 'empty', 'complimentary', 'food', 'drink', 'segment', 'two', 'flight', 'attendants', 'plane', 'reached', 'cruising', 'altitude', 'put', 'aprons', 'pushed', 'cart', 'aisle', 'hawking', 'edibles', 'elixirs', 'pilot', 'introduced', 'gorgeous', 'earlier', 'flight', 'video', 'presentation', 'showed', 'safety', 'instructions', 'supposed', 'funny', 'engaging', 'felt', 'neither', 'accents', 'actors', 'hard', 'understand', 'flight', 'landed', 'time', 'overall', 'positive', 'experience', 'next', 'time', 'look', 'nonstop', 'flight', 'glasgow', 'new', 'york', 'transfer', 'heathrow', 'anxietyinducing']"
783,"['london', 'heathrow', 'new', 'york', 'staff', 'went', 'beyond', 'make', 'sure', 'wonderful', 'experience', 'refreshing', 'see', 'days', 'quality', 'food', 'drinks', 'wonderful', 'plenty', 'leg', 'room', 'well', 'would', 'definitely', 'fly', 'ba', 'planning', 'making', 'airline', 'flies', 'destinations', 'departure', 'tv', 'work', 'tried', 'twice', 'reset', 'however', 'work', 'fine', 'resolved', 'reading', 'book', 'landing', 'flight', 'attendant', 'looking', 'us', 'asked', 'rectified', 'replied', 'ok', 'came', 'back', 'bottle', 'champagne', 'pair', 'pyjamas', 'makeup', 'bag', 'full', 'goodies', 'sister', 'well', 'say', 'overwhelmed', 'understatement', 'say', 'thank', 'british', 'airways', 'bottom', 'heart', 'trip', 'birthday', 'certainly', 'made', 'something', 'special']"
784,"['gatwick', 'bermuda', 'boarded', 'quickly', 'time', 'seating', 'area', 'smart', 'appearance', 'much', 'better', 'old', 'aircraft', 'normally', 'turn', 'service', 'good', 'food', 'best', 'ba', 'new', 'crockery', 'added', 'good', 'feel', 'appearance', 'long', 'overdue', 'duvet', 'bedding', 'much', 'better', 'expect', 'highcost', 'route', 'pillow', 'fabulous', 'gone', 'small', 'pillows', 'luxurious', 'pillow', 'want', 'use', 'flight', 'crew', 'even', 'though', 'full', 'front', 'hope', 'turning', 'point', 'british', 'airways', 'thank', 'looking', 'forward', 'seychelles', 'flight', 'october', 'rio', 'flight', 'december', 'keep', 'coming']"
785,"['london', 'heathrow', 'larnaca', 'perfect', 'early', 'morning', 'departure', 'meant', 'terminal', 'unusually', 'quiet', 'galleries', 'lounge', 'offered', 'wide', 'range', 'food', 'drinks', 'pleasant', 'environment', 'flight', 'took', 'landed', 'time', 'cabin', 'crew', 'incredibly', 'attentive', 'provided', 'professional', 'pleasant', 'onboard', 'experience', 'arrival', 'procedures', 'larnaca', 'incredibly', 'efficient', 'completed', 'immigration', 'picked', 'hold', 'baggage', 'within', 'minutes', 'arriving', 'gate', 'enjoyable', 'trip']"
786,"['ba', 'return', 'trip', 'gatwick', 'cagliari', 'flights', 'saturday', 'full', 'aircraft', 'a', 'legs', 'sat', 'row', 'outbound', 'rows', 'behind', 'club', 'europe', 'sat', 'row', 'return', 'leg', 'room', 'seemed', 'tighter', 'row', 'brown', 'leather', 'seating', 'suggested', 'aircraft', 'may', 'bmi', 'fleet', 'didn', '’', 't', 'bother', 'new', 'ms', 'board', 'service', 'outward', 'return', 'ms', 'sandwich', 'everything', 'would', 'expect', 'ms', 'sandwich', 'apart', 'cost', 'coffee', 'tea', 'wife', 'standard', 'also', 'took', 'cabin', 'crew', 'best', 'part', 'minutes', 'get', 'row', 'row', 'members', 'cabin', 'crew', 'appeared', 'hide', 'club', 'europe', 'attending', 'passengers', 'despite', 'quite', 'lot', 'turbulence', 'seat', 'belt', 'sign', 'minutes', 'continued', 'serve', 'hot', 'drinks', 'passengers', 'advised', 'careful', 'given', 'cup', 'hot', 'water', 'add', 'coffee', 'tea', 'bag', 'also', 'queue', 'passengers', 'requiring', 'toilet', 'also', 'formed', 'behind', 'trolley', 'would', 'return', 'seats', 'rubbish', 'trolley', 'service', 'collected', 'hand', 'preparing', 'land', 'outbound', 'flight', 'fine', 'inbound', 'flight', 'great', 'advertisement', 'ba', 'perhaps', 'standards', 'lgw', 'good', 'lhr']"
787,"['heathrow', 'kalamata', 'heathrow', 't', 'kalamata', 'greece', 'th', 'june', 'return', 'week', 'later', 'used', 'avios', 'points', 'upgrade', 'exit', 'row', 'seats', 'legroom', 'bad', 'news', 'took', 'hours', 'late', 'heathrow', 'delays', 'previous', 'incoming', 'flight', 'made', 'hour', 'journey', 'also', 'left', 'kalamata', 'hour', 'late', 'return', 'landed', 'virtually', 'time', 'seats', 'much', 'comfortable', 'padding', 'example', 'ryanair', 'jetcom', 'extra', 'legroom', 'flights', 'pretty', 'comfortable', 'expensive', 'course', 'ms', 'offerings', 'food', 'tasty', 'enough', 'pleasant', 'fas', 'decent', 'flights', 'havent', 'used', 'ba', 'short', 'haul', 'quite', 'years', 'would', 'use', 'price', 'right']"
788,"['london', 'gothenburg', 'unique', 'procedures', 'adding', 'order', 'create', 'lot', 'mess', 'extra', 'visa', 'checks', 'passport', 'checks', 'separate', 'queues', 'additional', 'controls', 'heathrow', 'terminal', 'bizarre']"
789,"['amsterdam', 'london', 'th', 'april', 'arrived', 'hours', 'flight', 'waited', 'line', 'hour', 'staff', 'attended', 'checking', 'people', 'seemed', 'like', 'turtle', 'paced', 'snail', 'like', 'sense', 'urgency', 'rather', 'lengthy', 'delaywhen', 'got', 'gate', 'time', 'told', 'gate', 'shut', 'thinking', 'must', 'kind', 'joke', 'noted', 'british', 'airways', 'representatives', 'saying', 'time', 'replied', 'yes', 'last', 'person', 'everyone', 'made', 'bags', 'already', 'offloaded', 'continued', 'say', 'asking', 'ability', 'ring', 'abroad', 'asked', 'could', 'help', 'replied', 'saying', 'qantas', 'office', 'amsterdam', 'can', 'not', 'help']"
790,"['istanbul', 'london', 'first', 'flight', 'economy', 'new', 'a', 'neo', 'aircraft', 'set', 'first', 'rows', 'regular', 'seats', 'remaining', 'rows', 'new', 'extra', 'slim', 'economy', 'seats', 'seat', 'recline', 'thin', 'ok', 'hour', 'flight', 'however', 'hours', 'minutes', 'flight', 'became', 'pretty', 'uncomfortable', 'hours', 'members', 'cabin', 'crew', 'great', 'serving', 'usual', 'ms', 'sale', 'products']"
791,"['difficulty', 'start', 'initial', 'booking', 'website', 'repeatedly', 'asked', 'log', 'even', 'though', 'already', 'logged', 'wanted', 'reserve', 'seats', 'request', 'special', 'meals', 'took', 'days', 'achive', 'amazed', 'cost', 'reserving', 'ordinary', 'seats', 'extra', 'legroom', 'bumped', 'price', 'people', '£', 'seats', 'booked', 'lhrkul', 'return', 'kullhr', 'legs', 'difficulty', 'checking', 'using', 'ba', 'app', 'eventually', 'using', 'malaysia', 'airlines', 'app', 'checking', 'online', 'allowed', 'hrs', 'making', 'things', 'little', 'awkward', 'kuching', 'return', 'leg', 'hr', 'time', 'difference', 'looking', 'forward', 'flying', 'boeing', 'really', 'dream', 'food', 'choices', 'told', 'ran', 'breakfast', 'choice', 'full', 'english', 'omelette', 'full', 'english', 'ran', 'told', 'looking', 'shoulder', 'minutes', 'later', 'another', 'trolley', 'appeared', 'full', 'english', 'earlier', 'meals', 'ok', 'beer', 'wine', 'drinks', 'available', 'little', 'attention', 'cabin', 'crew', 'main', 'meals', 'go', 'rear', 'galley', 'ask', 'water', 'h', 'flight', 'think', 'cabin', 'least', 'visited', 'times', 'toilets', 'clean', 'worked', 'ok', 'aircraft', 'whole', 'clean', 'tidy', 'ife', 'selection', 'superb', 'many', 'latest', 'films', 'available', 'along', 'games', 'music', 'return', 'flight', 'kl', 'london', 'cold', 'boeing', 'way', 'changing', 'airflow', 'seat']"
792,"['london', 'dusseldorf', 'free', 'drinks', 'food', 'pretty', 'normal', 'short', 'haul', 'flights', 'crew', 'pretty', 'average', 'seat', 'average', 'ground', 'crew', 'pretty', 'nice', 'inflight', 'entertainment']"
793,"['london', 'seoul', 'nightmare', 'experience', 'british', 'airways', 'almost', 'constantly', 'business', 'cabin', 'downgraded', 'economy', 'last', 'minute', 'hours', 'longhauls', 'flight', 'lounge', 'simy', 'sucks', 'cheap', 'noisy', 'croweed', 'multiple', 'malfunction', 'items', 'aircraft', 'including', 'unfolded', 'table', 'given', 'price', 'charge', 'certainly', 'one', 'worst', 'airlines', 'one', 'possible', 'take']"
794,"['verified', 'london', 'vancouver', 'economy', 'lot', 'cramped', 'expected', 'ba', 'crammed', 'seats', 'crew', 'okay', 'food', 'reasonable', 'really', 'although', 'upgraded', 'food', 'came', 'everyone', 'else', 'shame', 'flew', 'back', 'premium', 'class', 'room', 'probably', 'won', '’', 't', 'use', 'november', 'go', 'back', 'timing', 'good', 'air', 'quality', 'felt', 'ok', 'didn', '’', 't', 'get', 'headache']"
795,"['❎', 'verified', 'newcastle', 'delhi', 'via', 'london', 'checkin', 'charged', 'carrying', 'kilos', 'extra', 'problem', 'paid', 'total', '£', 'kilos', 'flight', 'london', 'delhi', 'boarding', 'asked', 'water', 'attendant', 'told', 'would', 'get', 'busy', 'customers', 'boarding', 'flight', 'asked', 'bottle', 'water', 'seemed', 'forget', 'hours', 'journey', 'inflight', 'entertainment', 'system', 'got', 'stuck', 'tv', 'radio', 'feature', 'dinner', 'served', 'ithe', 'meal', 'consisted', 'chicken', 'gravy', 'mash', 'along', 'bread', 'butter', 'mousse', 'delays', 'caused', 'british', 'airways', 'resulted', 'flight', 'reaching', 'delhi', 'late', 'missing', 'connecting', 'flight', 'landed', 'delhi', 'picked', 'baggage', 'belt', 'british', 'airways', 'staff', 'ready', 'another', 'ticket', 'delhi', 'mumbai', 'without', 'even', 'asking']"
796,"['miami', 'delhi', 'via', 'london', 'ba', 'business', 'class', 'flew', 'first', 'time', 'recently', 'worst', 'flown', 'whereas', 'four', 'seats', 'across', 'british', 'airways', 'eight', 'lay', 'beds', 'hard', 'thin', 'short', 'worth', 'money']"
797,"['verified', 'london', 'sydney', 'via', 'singapore', 'checked', 'bag', 'kg', 'allowance', 'kg', 'made', 'repackage', 'bag', 'take', 'two', 'pairs', 'shoes', 'place', 'hand', 'luggage', 'really', 'found', 'food', 'legs', 'flight', 'horrible']"
798,"['phoenix', 'amsterdam', 'via', 'london', 'hrs', 'delayed', 'flight', 'cramped', 'seat', 'lights', 'call', 'light', 'entertainment', 'sort', 'food', 'found', 'exceptionally', 'bad', 'b', 'terribly', 'maintained', 'offer', 'gbp', 'compensation', 'insulting', 'exemplifies', 'lack', 'concern', 'passengers', 'comfort', 'safety']"
799,"['standard', 'run', 'mill', 'airline', 'todays', 'economy', 'flew', 'tel', 'aviv', 'new', 'york', 'two', 'hour', 'layover', 'london', 'heathrow', 'crew', 'fine', 'entertainment', 'system', 'london', 'new', 'york', 'leg', 'nice', 'special', 'meal', 'ordered', 'either', 'two', 'flights', 'called', 'two', 'half', 'weeks', 'prior', 'departure', 'check', 'meals', 'system', 'assured', 'submitted', 'complaint', 'bacom', 'responses', 'received', 'lame', 'unacceptable', 'stitch', 'good', 'forthcoming', 'british', 'airways', 'suggested', 'topping', 'avios', 'balance', 'mere', 'points', 'balance', 'around']"
800,"['belfast', 'city', 'atlanta', 'via', 'london', 'heathrow', 't', 'checkin', 'fairly', 'smooth', 'belfast', 'early', 'morning', 'however', 'agent', 'called', 'check', 'flustered', 'wasnt', 'elite', 'executive', 'club', 'member', 'although', 'boyfriend', 'checked', 'agent', 'without', 'difficulty', 'knew', 'working', 'premium', 'line', 'nobody', 'standing', 'standing', 'regular', 'line', 'called', 'minutes', 'finally', 'got', 'boarding', 'pass', 'go', 'security', 'flight', 'bhd', 'lhr', 'uneventful', 'barebones', 'nothing', 'served', 'free', 'flight', 'boyfriend', 'therefore', 'hated', 'used', 'getting', 'better', 'service', 'american', 'us', 'fully', 'aware', 'ba', 'turned', 'glorified', 'easyjet', 'arrived', 'lhr', 'continued', 'atlanta', 'ba', 'shocked', 'crowded', 'userunfriendly', 't', 'although', 'suppose', 'pretty', 'ways', 'sit', 'one', 'dank', 'cattle', 'pits', 'hold', 'people', 'flight', 'called', 'felt', 'crowded', 'hot', 'flight', 'called', 'found', 'crowded', 'shuttle', 'plane', 'pushy', 'people', 'boarding', 'straightforward', 'however', 'flight', 'attendants', 'polite', 'helpful', 'customers', 'even', 'economy', 'flight', 'product', 'ok', 'view', 'exit', 'row', 'aisle', 'seat', 'extra', 'room', 'nice', 'headrest', 'seat', 'right', 'lav', 'stank', 'ife', 'fine', 'decent', 'selection', 'complete', 'deltas', 'food', 'bland', 'equivalent', 'delta', 'serves', 'brownie', 'points', 'tea', 'service', 'terrible', 'given', 'halfsandwiches', 'plastic', 'wrap', 'without', 'tray', 'limited', 'selection', 'beverages', 'remember', 'years', 'ago', 'ba', 'premium', 'carrier', 'served', 'nice', 'things', 'passengers', 'friendly', 'smile', 'smiles', 'disappeared', 'part', 'feeling', 'flying', 'special', 'carrier', 'longer', 'however', 'arrived', 'time', 'promptly', 'got', 'bag', 'also', 'nice', 'spacious', 'flight', 'attendants', 'polite', 'might', 'fly', 'though', 'would', 'recommend', 'ba', 'due', 'crowds', 'discomfort', 'experienced', 't']"
801,"['buenos', 'aires', 'london', 'wish', 'thank', 'crew', 'nice', 'terribly', 'sick', 'wish', 'knew', 'names', 'gave', 'medicine', 'blanket', 'caressed', 'back', 'crying', 'stomach', 'ache', 'forever', 'grateful']"
802,"['london', 'nashville', 'worst', 'airline', 'transatlantic', 'despite', 'looking', 'forward', 'flying', 'new', 'route', 'nashville', 'british', 'airways', 'ruined', 'trip', 'flight', 'delayed', 'three', 'hours', 'whilst', 'ostensibly', 'replaced', 'damaged', 'aircraft', 'inbound', 'boeing', 'san', 'jose', 'airplane', 'filthy', 'dirty', 'club', 'class', 'bad', 'enough', 'suffer', 'awful', 'dated', 'club', 'class', 'yingyang', 'facing', 'narrow', 'seats', 'divider', 'business', 'class', 'british', 'airways', 'worst', 'airline', 'wifi', 'service', 'late', 'arrival', 'nashville', 'luggage', 'arrived', 'soaking', 'wet', 'unable', 'change', 'clothes', 'return', 'uk', 'contacted', 'british', 'airways', 'customer', 'relations', 'seek', 'compensation', 'got', 'usual', 'pathetic', 'mainly', 'computer', 'generated', 'insincere', 'apology', 'forced', 'haggle', 'british', 'airways', 'endure', 'woeful', 'socalled', 'customer', 'relations', 'department', 'real', 'shame', 'witness', 'decline', 'national', 'carrier', 'british', 'airways', 'treat', 'premium', 'class', 'customers', 'contempt', 'happens', 'airline', 'monopoly', 'heathrow']"
803,"['flight', 'delayed', 'almost', 'two', 'hours', 'nice', 'gave', 'us', 'boeing', 'old', 'boac', 'retro', 'colours', 'seats', 'wide', 'comfortable', 'plenty', 'storage', 'ife', 'average', 'food', 'good', 'generous', 'portions', 'stood', 'high', 'level', 'service', 'friendliness']"
804,"['checked', 'flight', 'newcastle', 'ba', 'check', 'process', 'disgusting', 'minutes', 'queuing', 'ba', 'staff', 'working', 'two', 'desks', 'one', 'virtually', 'empty', 'priority', 'queue', 'female', 'checking', 'assistant', 'spent', 'large', 'proportion', 'time', 'chatting', 'colleague', 'air', 'france', 'adjacent', 'desk', 'process', 'ridiculously', 'slow', 'check', 'taking', 'several', 'minutes', 'priority', 'queue', 'representative', 'deigned', 'check', 'economy', 'passengers', 'seemed', 'take', 'eternity', 'minutes', 'took', 'us', 'queue', 'never', 'dropped', 'people', 'never', 'queued', 'slower', 'disorganised', 'check', 'desk', 'adjacent', 'jet', 'desks', 'seven', 'staffed', 'desks', 'counted', 'staff', '“', 'welcome', '”', 'sign', 'displayed', 'ba', 'desk', 'located', 'start', 'queue', 'additional', 'wording', '“', 'you', '’', 're', 'long', 'wait', '”', 'cap', 'enduring', 'queue', 'we', '’', 're', 'delayed', 'minutes', 'thus', 'far', 'unprofessional']"
805,"['gatwick', 'madrid', 'arrived', 'waited', 'one', 'half', 'hours', 'one', 'suitcase', 'didn', '’', 't', 'arrive', 'asked', 'fill', '‘', 'lost', 'luggage', '’', 'form', 'given', 'number', 'call', 'next', 'day', 'representative', 'said', 'she', '’', 'd', 'make', 'sure', 'suitcase', 'delivered', 'pm', 'day', 'returned', 'later', 'evening', 'suitcase', 'hadn', '’', 't', 'delivered', 'next', 'morning', 'sunday', 'phoned', 'number', 'answer', 'message', 'said', 'phone', 'back', 'monday', 'leaving', 'sunday', 'night', 'pointless', 'leaving', 'madrid', 'pm', 'one', 'suitcase', 'arrived', 'two', 'hours', 'left', 'madrid', 'spent', 'whole', 'time', 'madrid', 'without', 'medicines', 'change', 'clothes', 'toiletries', 'etc', 'ended', 'wasting', 'lot', 'short', 'valuable', 'time', 'buying', 'essentials', 'needed', 'whilst']"
806,"['boyfriend', 'wanted', 'return', 'trip', 'london', 'day', 'early', 'ba', 'app', 'website', 'continued', 'glitch', 'called', 'ask', 'much', 'would', 'leave', 'day', 'earlier', 'told', 'penalty', 'fee', 'changing', 'flight', 'there', '’', 's', 'fee', 'phone', 'that', '’', 's', 'price', 'flight', 'decided', 'try', 'luck', 'changing', 'app', 'paid', 'change', 'flight', 'one', 'day', 'earlier', 'make', 'back', 'event', 'flight', 'delayed', 'arrived', 'hr', 'mins', 'late', 'missed', 'event', 'plane', 'filthy', 'tv', 'didn', '’', 't', 'work', 'asked', 'flight', 'attendant', 'something', 'clean', 'slimy', 'finger', 'smears', 'screen', 'told', 'it', '’', 's', 'normal', 'wear', 'tear', 'could', 'get', 'toilet', 'paper', 'bathroom', 'called', 'ask', 'refund', 'fees', 'since', 'flight', 'delayed', 'told', 'can', '’', 't', 'give', 'us', 'refund', 'got', 'flight']"
807,"['kept', 'laptop', 'bag', 'overhead', 'cabin', 'somebody', 'got', 'bigger', 'cabin', 'bag', 'couldnt', 'fit', 'bag', 'space', 'remaining', 'kept', 'bag', 'laptop', 'bag', 'asked', 'flight', 'attendant', 'help', 'asked', 'keep', 'luggage', 'travelling', 'one', 'laptop', 'bag', 'placed', 'cabin', 'right', 'seat', 'instead', 'asking', 'oversized', 'bag', 'placed', 'properly', 'kept', 'elsewhere', 'bag', 'place', 'oversized', 'bag', 'came', 'asked', 'moved', 'fair']"
